g01572002330267394201,ivy world school,\N,VIII,,1,3683,1,Coimbatore
a_5565058753799983191,J M l high school,\N,VI,,1,2724,8,Nashik
a_4054667830498767504,jadhav,\N,VII,,1,22269,9,
g08971038460643909233,jamnabai narsee school,\N,I,,1,2785,10,Sangamner
g04422323888834820986,jamumnabai,\N,VI,,1,2707,7,Mumbai
g02047721827823356220,janki devi,\N,I,,1,2707,10,Mumbai
g06067116488937567598,jaydev kongaon,\N,X,,1,2707,10,Mumbai
g03528725325719291973,Jdjdj,\N,VII,,1,2707,9,Mumbai 
g04118133351610149255,Jesus & Mary Academy,\N,IV,,1,2603,10,Jalgaon
g07600427225255335555,JNIS,\N,VIII,,1,2726,9,Navi Mumbai 
g10666505218027938602,jss private school,\N,VI,,1,2618,8,Kalyan
g17562626273055062562,jv,\N,VIII,,1,2707,9,Mumbai
g03758117570508981189,JVM,\N,IX,,1,2707,1,Mumbai
g01860774314897877992,K ,\N,v school iiT powai,,1,22269,9,
g11363058424049575560,K C Gandhi,\N,VI,,1,2515,2,Bhiwandi
g15764837579316744755,k c gandhi kalyan,\N,II,,1,22269,8,
g15457652558705349835,K C Gandhi kalyan,\N,VI,,1,2707,4,Mumbai
g16306182781864461943,K C Gandhi kalyan,\N,II,,1,2707,10,Mumbai
g15439699307600138787,K V Bhandup,\N,I,,1,22269,10,
g13425473565805072711,K V Bhandup,\N,X,,1,3659,3,Chennai
g10590382943865133473,k v bhandup,\N,VII,,1,3683,10,Coimbatore
g00064423118923674032,K V Bhandup,\N,I,,1,5295,4,Rishikesh
g10598664472717397781,k v bhandup,\N,VIII,,1,2836,10,Thane
g17167436600401282492,k v bhandup,\N,VII,,1,2707,10,Mumbai
g16413339512019709733,k v bhandup,\N,VIII,,1,22269,9,
g05112422299203774479,k v iit,\N,IX,,1,\N,10,Bangalore
g08745467943989462123,k v IIT Powai,\N,IX,,1,22269,9,
g10957377709024993129,K V INS HAMLA,\N,IX,,1,22269,8,
g01050267939955406422,k v mankhud,\N,V,,1,2836,1,Thane
g01696669103585147264,k v mankhuid,\N,IV,,1,22269,3,
g00487833580553303641,k v mankhurd,\N,VIII,,1,22269,2,
g00108500644524657503,k v mankhurd,\N,VII,,1,\N,8,Bangalore 
